Date,Country,Sex,AgeGroup,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative,Population
20200307,S92000003,Total,15 to 19,0,0,0,0,0,0,57,20.21577682,281958
20200307,S92000003,Total,20 to 24,0,2,0.575612452,0,0,0,145,41.73190274,347456
20200307,S92000003,Total,25 to 44,2,11,0.77264988,0,0,0,592,41.58261173,1423672
20200307,S92000003,Total,45 to 64,3,11,0.733155421,0,0,0,655,43.65607279,1500364
20200307,S92000003,Total,65 to 74,1,4,0.691682518,0,0,0,187,32.3361577,578300
20200307,S92000003,Total,75 to 84,0,1,0.295195981,0,0,0,72,21.2541106,338758
20200307,S92000003,Total,85plus,0,0,0,0,0,0,30,23.60587629,127087
20200307,S92000003,Total,Total,6,30,0.549118665,0,0,0,2141,39.18876869,5463300
20200308,S92000003,Female,15 to 19,0,0,0,0,0,0,33,23.95018362,137786
20200308,S92000003,Female,20 to 24,0,2,1.166929226,0,0,0,90,52.51181516,171390
20200308,S92000003,Female,25 to 44,0,3,0.41639023,0,0,0,301,41.77781973,720478
20200308,S92000003,Female,45 to 64,0,4,0.516805881,0,0,0,334,43.15329108,773985
20200308,S92000003,Female,65 to 74,0,2,0.663347717,0,0,0,99,32.83571199,301501
20200308,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,34,17.79881062,191024
20200308,S92000003,Female,85plus,0,0,0,0,0,0,18,21.89940872,82194
20200308,S92000003,Female,Total,0,13,0.464236472,0,0,0,1103,39.38867913,2800297
20200308,S92000003,Male,15 to 19,0,0,0,0,0,0,31,21.50209472,144172
20200308,S92000003,Male,20 to 24,0,0,0,0,0,0,60,34.07812979,176066
20200308,S92000003,Male,25 to 44,2,10,1.422082669,0,0,0,319,45.36443713,703194
20200308,S92000003,Male,45 to 64,0,7,0.963684247,0,0,0,345,47.49586648,726379
20200308,S92000003,Male,65 to 74,1,3,1.083818944,0,0,0,99,35.76602517,276799
20200308,S92000003,Male,75 to 84,0,0,0,0,0,0,48,32.49082811,147734
20200308,S92000003,Male,85plus,0,0,0,0,0,0,12,26.7302252,44893
20200308,S92000003,Male,Total,3,20,0.751031824,0,0,0,1157,43.44719101,2663003
20200308,S92000003,Total,15 to 19,0,0,0,0,0,0,64,22.69841608,281958
20200308,S92000003,Total,20 to 24,0,2,0.575612452,0,0,0,151,43.4587401,347456
20200308,S92000003,Total,25 to 44,2,13,0.913131676,0,0,0,621,43.61959777,1423672
20200308,S92000003,Total,45 to 64,0,11,0.733155421,0,0,0,679,45.25568462,1500364
20200308,S92000003,Total,65 to 74,1,5,0.864603147,0,0,0,198,34.23828463,578300
20200308,S92000003,Total,75 to 84,0,1,0.295195981,0,0,0,82,24.20607041,338758
20200308,S92000003,Total,85plus,0,0,0,0,0,0,30,23.60587629,127087
20200308,S92000003,Total,Total,3,33,0.604030531,0,0,0,2262,41.40354731,5463300
20200309,S92000003,Female,15 to 19,0,0,0,0,0,0,38,27.57899932,137786
20200309,S92000003,Female,20 to 24,0,2,1.166929226,0,0,0,97,56.59606745,171390
20200309,S92000003,Female,25 to 44,1,4,0.555186973,0,0,0,349,48.4400634,720478
20200309,S92000003,Female,45 to 64,2,6,0.775208822,0,0,0,375,48.45055137,773985
20200309,S92000003,Female,65 to 74,0,2,0.663347717,0,0,0,109,36.15245057,301501
20200309,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,43,22.51026049,191024
20200309,S92000003,Female,85plus,0,0,0,0,0,0,26,31.63247926,82194
20200309,S92000003,Female,Total,3,16,0.571367966,0,0,0,1271,45.38804277,2800297
20200309,S92000003,Male,15 to 19,1,1,0.693615959,0,0,0,38,26.35740643,144172
20200309,S92000003,Male,20 to 24,1,1,0.56796883,0,0,0,69,39.18984926,176066
20200309,S92000003,Male,25 to 44,5,15,2.133124003,0,0,0,341,48.493019,703194
20200309,S92000003,Male,45 to 64,4,11,1.51436096,0,0,0,387,53.27797197,726379
20200309,S92000003,Male,65 to 74,1,4,1.445091926,0,0,0,107,38.65620902,276799
20200309,S92000003,Male,75 to 84,1,1,0.676892252,0,0,0,59,39.93664289,147734
20200309,S92000003,Male,85plus,0,0,0,0,0,0,17,37.86781904,44893
20200309,S92000003,Male,Total,13,33,1.239202509,0,0,0,1300,48.81706855,2663003
20200309,S92000003,Total,15 to 19,1,1,0.354662751,0,0,0,76,26.95436909,281958
20200309,S92000003,Total,20 to 24,1,3,0.863418677,0,0,0,167,48.06363971,347456
20200309,S92000003,Total,25 to 44,6,19,1.334577066,0,0,0,691,48.53646065,1423672
20200309,S92000003,Total,45 to 64,6,17,1.133058378,0,0,0,762,50.78767552,1500364
20200309,S92000003,Total,65 to 74,1,6,1.037523777,0,0,0,216,37.35085596,578300
20200309,S92000003,Total,75 to 84,1,2,0.590391961,0,0,0,102,30.10999002,338758
20200309,S92000003,Total,85plus,0,0,0,0,0,0,43,33.83508935,127087
20200309,S92000003,Total,Total,16,49,0.896893819,0,0,0,2573,47.09607746,5463300
20200310,S92000003,Female,15 to 19,0,0,0,0,0,0,42,30.48205188,137786
20200310,S92000003,Female,20 to 24,0,2,1.166929226,0,0,0,107,62.43071358,171390
20200310,S92000003,Female,25 to 44,2,6,0.83278046,0,0,0,405,56.21268103,720478
20200310,S92000003,Female,45 to 64,7,13,1.679619114,0,0,0,436,56.33184106,773985
20200310,S92000003,Female,65 to 74,1,3,0.995021575,0,0,0,127,42.12258002,301501
